hamming_n, hamming_k, modo_ruido       , ber_objetivo, errores_inyectados, errores_detectados, errores_corregidos, errores_fatales, integridad_ok, tamanio_bytes, bloques_totales
        7,         4, BER = 0.010000   ,   0.01000000,                  3,                  2,                  2,               0,             0,            10,              20
        7,         4, BER = 0.010000   ,   0.01000000,                  2,                  1,                  1,               0,             0,            10,              20
        7,         4, BER = 0.050000   ,   0.05000000,                  2,                  2,                  2,               0,             1,             4,               8
        7,         4, 1 errores totales,   0.00000000,                  1,                  1,                  1,               0,             1,             4,               8
        7,         4, 2 errores/bloque ,   0.00000000,                 16,                  8,                  8,               0,             0,             4,               8
        7,         4, BER = 0.100000   ,   0.10000000,                 18,                 15,                 15,               0,             0,            15,              30
        7,         4, BER = 0.500000   ,   0.50000000,                114,                 27,                 27,               0,             0,            15,              30
       15,        11, BER = 0.300000   ,   0.30000000,                 85,                 17,                 17,               0,             0,            24,              18
       31,        26, BER = 0.900000   ,   0.90000000,                140,                  5,                  5,               0,             0,            15,               5
       15,        11, BER = 0.700000   ,   0.70000000,                 85,                  7,                  7,               0,             0,            11,               8
       15,        11, BER = 0.800000   ,   0.80000000,                133,                 11,                 11,               0,             0,            14,              11
       15,        11, BER = 0.500000   ,   0.50000000,                121,                 16,                 16,               0,             0,            21,              16
       31,        26, BER = 0.500000   ,   0.50000000,                 75,                  4,                  4,               0,             0,            13,               4
       31,        26, BER = 0.010000   ,   0.01000000,                  0,                  0,                  0,               0,             1,            18,               6
       31,        26, BER = 0.010000   ,   0.01000000,                  1,                  1,                  1,               0,             1,            14,               5
       31,        26, BER = 0.900000   ,   0.90000000,                257,                  8,                  8,               0,             0,            27,               9
        7,         4, BER = 0.700000   ,   0.70000000,                 98,                 15,                 15,               0,             0,             9,              18
       31,        26, BER = 0.700000   ,   0.70000000,                108,                  5,                  5,               0,             0,            14,               5
       15,        11, BER = 0.600000   ,   0.60000000,                 54,                  5,                  5,               0,             0,             8,               6
       15,        11, BER = 0.010000   ,   0.01000000,                  2,                  2,                  2,               0,             1,            22,              16
       31,        26, BER = 0.300000   ,   0.30000000,                128,                 15,                 15,               0,             0,            46,              15
        7,         4, BER = 0.200000   ,   0.20000000,                129,                 68,                 68,               0,             0,            46,              92
       15,        11, BER = 0.600000   ,   0.60000000,                306,                 30,                 30,               0,             0,            46,              34
       15,        11, BER = 0.010000   ,   0.01000000,                  2,                  2,                  2,               0,             1,            46,              34
       31,        26, BER = 0.010000   ,   0.01000000,                  6,                  4,                  4,               0,             0,            46,              15
       31,        26, BER = 0.010000   ,   0.01000000,                  1,                  1,                  1,               0,             1,            46,              15
        7,         4, BER = 0.010000   ,   0.01000000,                 11,                 11,                 11,               0,             1,            46,              92
       15,        11, BER = 0.010000   ,   0.01000000,                  4,                  4,                  4,               0,             1,            46,              34
       31,        26, BER = 0.010000   ,   0.01000000,                  6,                  5,                  5,               0,             0,            46,              15
       15,        11, BER = 0.010000   ,   0.01000000,                  3,                  3,                  3,               0,             1,            46,              34
       31,        26, BER = 0.010000   ,   0.01000000,                 10,                  6,                  6,               0,             0,            46,              15
       31,        26, BER = 0.010000   ,   0.01000000,                  5,                  5,                  5,               0,             1,            46,              15
       15,        11, BER = 0.010000   ,   0.01000000,                  6,                  6,                  6,               0,             1,            46,              34
       31,        26, BER = 0.010000   ,   0.01000000,                  4,                  3,                  3,               0,             0,            46,              15
       15,        11, BER = 0.010000   ,   0.01000000,                  5,                  5,                  5,               0,             1,            46,              34
       31,        26, BER = 0.010000   ,   0.01000000,                  6,                  5,                  5,               0,             0,            46,              15
       31,        26, BER = 0.010000   ,   0.01000000,                  1,                  1,                  1,               0,             1,            46,              15
7,4,2 errores/bloque,0.00000000,16,8,8,0,0,4,8
